"ID","Title","Created By","Created On","Estimate","Forecast","Preconditions","Priority","References","Section","Section Depth","Section Description","Steps","Steps","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Sprawdzenie zgodności aplikacji z systemem operacyjnym Windows 7","KID SID","5/16/2022 6:38 PM","","","komputer z systemem operacyjnym Windows 7, rozpakowane archiwum z aplikacją","Medium","","Test Cases","0","","","Uruchomienie aplikacji klikając w plik wykonywalny","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C2","Sprawdzenie zgodności aplikacji z systemem operacyjnym Windows 8/8.1","KID SID","5/16/2022 6:38 PM","","","komputer z systemem operacyjnym Windows 8/8.1, rozpakowane archiwum z aplikacją","Medium","","Test Cases","0","","","Uruchomienie aplikacji klikając w plik wykonywalny","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C3","[Interfejs] Ikona MrBuggy 3 widoczna w oknie aplikacji","KID SID","5/16/2022 6:38 PM","","","Uruchomienie aplikacji","Medium","","Test Cases","0","","","Użytkownik przechodzi na stronę logowania
Użytkownik loguje się na dowolny tryb
Po prawidłowym zalogowaniu, w oknie aplikacji użytkownik widzi ikonę MrBuggy 3","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C4","Utrata połączenia sieciowego","KID SID","5/16/2022 6:38 PM","","","użytkownik musi być zalogowany do aplikacji","Medium","","Test Cases","0","","","użytkownik upewnia się czy wszystkie funkcje aplikacji działają
użytkownik wyłącza dostęp do sieci
użytkownik sprawdza czy wszystkie funkcje aplikacji nadal działają","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C5","Aplikacja nie może używać  więcej niż 100MB pamięci","KID SID","5/16/2022 6:38 PM","","","Aplikacja mierząca użycie pamięci","Medium","","Test Cases","0","","","Włączamy aplikacje mierzącą zużycie pamięci systemowej
Uruchamiamy aplikacje MrBuggy
Analizujemy poprzez aplikację zużycie pamięci systemowej
Sprawdzamy funkcje aplikacji i sprawdzamy jak wpływa na zużycie pamieci","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C6","Testowanie czasu generowania raportu < 15 sekund","KID SID","5/16/2022 6:38 PM","","","Otwarta aplikacja Mr Buggy 3.","Medium","","Test Cases","0","","","Przygotowanie stopera do pomiaru czasu generowania raportu.
Kliknij przycisk generuj raport.","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C7","Praca w trybie kapitana drużyny","KID SID","5/16/2022 6:38 PM","","","uruchomienie aplikacji, użytkownik jest zarejestrowany","Medium","","Test Cases","0","","","Wypełnij pole Login
Wypełnij pole Hasło
Wybór trybu pracy: kapitan drużyny
Naciśnij przycisk ""Zaloguj się""","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C8","Praca w trybie członka drużyny","KID SID","5/16/2022 6:38 PM","","","uruchomienie aplikacji, użytkownik jest zarejestrowany","Medium","","Test Cases","0","","","Wypełnij pole Login
Wypełnij pole Hasło
Wybór trybu pracy: członek drużyny
Naciśnij przycisk ""Zaloguj się""","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C9","Praca w trybie zawodnika","KID SID","5/16/2022 6:38 PM","","","uruchomienie aplikacji, użytkownik jest zarejestrowany","Medium","","Test Cases","0","","","Wypełnij pole Login
Wypełnij pole Hasło
Wybór trybu pracy: zawodnik
Naciśnij przycisk ""Zaloguj się""","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C10","Zablokowana możliwość raportowania defektów w trybie członka drużyny.","KID SID","5/16/2022 6:38 PM","","","Użytkownik korzysta z aplikacji “Mr Buggy 3” jako członek drużyny.","Medium","","Test Cases","0","","","Użytkownik loguje się w aplikacji jeśli jest to wymagane.
Użytkownik loguje się w trybie członka drużyny.
Sprawdzamy czy w trybie członka drużyny istnieje możliwość raportowania defektów.","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C11","Sprawdzenie możliwości zarejestrowania się w aplikacji MrBuggy przy użyciu loginu o konkretnych wymaganiach","KID SID","5/16/2022 6:38 PM","","","Użytkownik nie znajduje się w bazie, login musi mieć od 2 do 8 znaków, bez białych znaków, bez polskich znaków","Medium","","Test Cases","0","","","Uruchom aplikację
kliknij pole zarejestruj się
wypełnij pole login
wypełnij pole hasło
wypełnij pole powtórz hasło
kliknij pole zarejestruj sie","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
"C12","Logowanie do aplikacji MrBuggy","KID SID","5/16/2022 6:38 PM","","","Użytkownik jest zarejestrowany w bazie, login musi mieć od 2 do 8 znaków, bez białych znaków, bez polskich znaków","Medium","","Test Cases","0","","","Uruchom aplikację
Kliknij pole zaloguj się
wypełnij pole login, zgodnie z wymaganiami z warunków wstępnych
wypełnij pole hasło
kliknij pole zaloguj się","Master","S1","Other","KID SID","5/16/2022 6:38 PM"
